Reusing configuration cache.
> Task :order-receiver:extractProto UP-TO-DATE
> Task :order-receiver:extractIncludeProto UP-TO-DATE
> Task :order-receiver:processResources UP-TO-DATE
> Task :order-receiver:generateProto UP-TO-DATE
> Task :order-receiver:compileJava UP-TO-DATE
> Task :order-receiver:classes UP-TO-DATE

> Task :order-receiver:run
19:48:23.260 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000009: FILLED
19:48:23.260 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000009 - FILLED
19:48:24.830 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /0:0:0:0:0:0:0:1
19:48:24.830 [pool-1-thread-1] WARN  c.e.orderreceiver.tcp.OrderTcpServer - No order message received from client
19:48:26.258 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:26.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL AVGO 1092 shares @ ${:.2f}
19:48:26.259 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000011
19:48:26.259 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000011: FILLED
19:48:26.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000011 - FILLED
19:48:28.145 [grpc-default-executor-0] INFO  c.e.orderreceiver.tcp.OrderTcpServer - TCP server mode changed to: REJECT ALL
19:48:28.146 [grpc-default-executor-0] INFO  c.e.o.OrderReceiverApplication - >>> Order processing mode set to: REJECT ALL <<<
19:48:28.146 [grpc-default-executor-0] WARN  c.example.orderreceiver.OrderManager - >>> Order processing is now set to REJECT ALL NEW ORDERS <<<
19:48:29.254 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:29.254 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL TSLA 339 shares @ ${:.2f}
19:48:29.254 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000013
19:48:29.255 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000013: REJECTED
19:48:29.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000013 - REJECTED
19:48:32.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:32.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY ADBE 590 shares @ ${:.2f}
19:48:32.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000015
19:48:32.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000015: REJECTED
19:48:32.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000015 - REJECTED
19:48:34.831 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /0:0:0:0:0:0:0:1
19:48:34.831 [pool-1-thread-1] WARN  c.e.orderreceiver.tcp.OrderTcpServer - No order message received from client
19:48:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL TSLA 445 shares @ ${:.2f}
19:48:35.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000017
19:48:35.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000017: REJECTED
19:48:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000017 - REJECTED
19:48:38.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:38.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL NVDA 751 shares @ ${:.2f}
19:48:38.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000019
19:48:38.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000019: REJECTED
19:48:38.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000019 - REJECTED
19:48:41.260 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:41.260 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL TSLA 149 shares @ ${:.2f}
19:48:41.260 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000021
19:48:41.261 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000021: REJECTED
19:48:41.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000021 - REJECTED
19:48:44.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:44.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL AMZN 150 shares @ ${:.2f}
19:48:44.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000023
19:48:44.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000023: REJECTED
19:48:44.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000023 - REJECTED
19:48:44.833 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /0:0:0:0:0:0:0:1
19:48:44.834 [pool-1-thread-1] WARN  c.e.orderreceiver.tcp.OrderTcpServer - No order message received from client
19:48:47.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:47.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY INTC 762 shares @ ${:.2f}
19:48:47.261 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000025
19:48:47.261 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000025: REJECTED
19:48:47.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000025 - REJECTED
19:48:50.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:50.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY KLAC 549 shares @ ${:.2f}
19:48:50.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000027
19:48:50.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000027: REJECTED
19:48:50.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000027 - REJECTED
19:48:53.261 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:53.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY AMD 299 shares @ ${:.2f}
19:48:53.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000029
19:48:53.262 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000029: REJECTED
19:48:53.262 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000029 - REJECTED
19:48:54.836 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /0:0:0:0:0:0:0:1
19:48:54.837 [pool-1-thread-1] WARN  c.e.orderreceiver.tcp.OrderTcpServer - No order message received from client
19:48:56.263 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:56.263 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY AAPL 618 shares @ ${:.2f}
19:48:56.264 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000031
19:48:56.264 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000031: REJECTED
19:48:56.264 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000031 - REJECTED
19:48:59.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:48:59.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL AMZN 653 shares @ ${:.2f}
19:48:59.260 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000033
